state;year;burn;precipitation;region
Sergipe;1999;93;1518.8;North East
Sergipe;2000;17;1561.9;North East
Sergipe;2001;24;1478.8;North East
Sergipe;2002;208;1033.5;North East
Sergipe;2003;403;1233.5;North East
Sergipe;2004;190;1142.5;North East
Sergipe;2005;200;1078.9;North East
Sergipe;2006;147;1443.5;North East
Sergipe;2007;124;1177.2;North East
Sergipe;2008;243;1364.1;North East
Sergipe;2009;206;1308.7;North East
Sergipe;2010;143;1233.4;North East
Sergipe;2011;173;1304.7;North East
Sergipe;2012;231;741.6;North East
Sergipe;2013;185;880.7;North East
Sergipe;2014;104;869.9;North East
Sergipe;2015;299;952.3;North East
Sergipe;2016;152;735.0;North East
Sergipe;2017;75;1179.6;North East
Tocantins;1998;11536;1481.2;Center West
Tocantins;1999;6679;2280.6;Center West
Tocantins;2000;6542;2206.0;Center West
Tocantins;2001;9113;2171.5;Center West
Tocantins;2002;11787;1696.8;Center West
Tocantins;2003;8890;2043.7;Center West
Tocantins;2004;12202;1895.2;Center West
Tocantins;2005;10701;1791.7;Center West
Tocantins;2006;6429;2149.3;Center West
Tocantins;2007;15974;1743.7;Center West
Tocantins;2008;4676;1710.3;Center West
Tocantins;2009;5749;1921.3;Center West
Tocantins;2010;25069;1805.6;Center West
Tocantins;2011;10387;2005.7;Center West
Tocantins;2012;3752;1497.9;Center West
Tocantins;2013;7946;1849.3;Center West
Tocantins;2014;7396;1843.9;Center West
Tocantins;2015;8203;1393.7;Center West
Tocantins;2016;14854;1270.5;Center West
Tocantins;2017;20997;1320.7;Center West
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;863459.5;
